ID,캐릭터이름,대사,
26,파비안,@어디... 행성들의 간섭으로 중력이 겹쳐져 사람이나 건물이 모두 찌부러져 버릴지도 모른다… 라고?@,
27,파비안,@퍽이나 그러겠어… 만약 그렇다면 그 으리으리한 제이크씨네 집만 쩍하고 으스러뜨려주면 좋겠는데 말이야.@,
28,파비안,@하긴^ 뭐. 이런 쇼라도 해야 특별할 것도 없는 하늘이나 들여다 보는 작자들에게 후원금이 갈테니까.@,
29,파비안,@똑똑한 양반이나 나나 결국 다를바가 없는 인생이군.@,/ 신문 판정성공
30,파비안,@그러고 보니 오늘 신문을 자세히는 안 읽었지.@,
31,파비안,@어디보자.@,
32,신문,[몽골이 중국으로부터 독립하다.],
33,신문,[영국에 대한 아일랜드의 독립전쟁이 드디어 휴전에 돌입하다.],
34,파비안,(그런 내용들이 해드라인이어야 하는 것 아닌가 생각하며 내려간 시선에^ 특이한 소식이 눈에 들어왔다.),
35,신문,(아컴시에서 원인불명의 대규모 ⓡ(●1불면증)ⓦ 유행중.),
36,신문,(최근들어 아컴시 북부^ 남부를 가리지 않고 ⓡ(불면증)ⓦ 을 호소하는 사람이 늘어났다.),
37,신문,(이와 함께 발생하는 증상들로 불안증^ 만성피로가 있으며 이 때문에 현재 ⓑ(●1병원)ⓦ은 거의 마비 상태로..),
38,파비안,@요즘은 ⓡ(불면증)ⓦ도 전염되나보지? 다들 밤자리를 설쳐서 이렇게 도시가 조용했던 건가.@,
39,파비안,@아무튼 이른 시간이나 낮 시간대 까지는 급한 용무가 아니라면 ⓑ(병원)ⓦ은 들리지 않는게 좋겠어.@,
40,파비안,(특별하게 눈이 가는 소식은 없다.),/ 신문 판정실패
41,파비안,@그럼 커피나 한잔 타 마셔볼까.@☆①,/ 스토브 상호작용
42,파비안,(싸구려 인스턴트 커피와 손님용으로 준비해둔 차가 덩그러니 놓여져 있다.),/ 스토브 살펴보기
43,파비안,@오늘은 꽤나 그럴듯한데 왠일이지?@,/스토브 행운판정
44,파비안,@일할 맛이 나겠는걸.@,
45,파비안,(뭔가 오늘은 하루가 잘 풀릴것만 같은 기분이 든다.),/컨디션상승
46,파비안,@윽..@,/스토프 판정실패
47,파비안,(지옥 밑바닥이라도 긁어 온듯한 맛이다.),
48,파비안,(다음에는 그냥 손님용으로 준비한 차를 마시는게 낫겠다.),
49,파비안,(깔끔하게 정리되어있는 책상이다. 조금 먼지가 쌓여있다.)☆①,/책상 상호작용
50,파비안,(내 사무용 책상이다.),/책상 살펴보기
51,파비안,'아니^ 적어도 일주일은 그렇지 않았으니 그냥 책상일지도.',
52,파비안,'드디어 의뢰인이 찾아 온건가?',// 노크소리
53,파비안,‘설마 제이크 씨는 아니겠지.’,
54,???,@안녕하세요… 의뢰할 일이 있어서 찾아왔는데요.@,// 문 근접시
55,파비안,@아 들어오시죠.@◎②,
56,파비안,@그래서… 간단하게 자기소개부터 해주시고 어떤 용무로 찾아오셨는지 말해주시겠어요^ 여사님?@,
57,파비안,(내가 수첩을 꺼내 받아 적을 준비를 하며 묻자^ 그녀는 울먹이는 말투로 말을 시작했다.),
58,엘라,@안녕하세요.. 저는 저기 아래 해즈먼드사에서 비서로 일하고 있는 ⓖ(●1엘라 트리스)ⓦ 라고 해요.@,
59,엘라,@여기에 온건 다름이 아니라 남편 때문이에요^ 남편인 ⓖ(●1에이든 트리스)ⓦ 는 신문사에서 일하는 기자인데…@,
60,엘라,@최근 들어서 그이의 상태가 이상해졌어요.@,
61,파비안 ,@이상해졌다? 어떻게 말이죠?@,
62,엘라,@언젠가부터 무기력해보이기 시작하더니 밤마다 비명을 지르며 새벽에 깨어나기 시작했어요@,
63,엘라,@그때마다 괜찮냐고^ 무슨 문제라도 있냐구 물어도 흠칫 놀랬다가 한숨을 푹 몰아쉬고는 아무것도 아니라고 말하고는 다시 잠을 청하더라구요.@,
64,엘라,@낮에도 멍하게 앉아 ⓡ(●1악몽)ⓦ에 대해서 중얼거리고…@,
65,파비안,@ⓡ(악몽)ⓦ이라.. 그 전에는 이런 일이 없었나요?@,
66,엘라,@물론이에요. 그이는 그런 심신미약과는 거리가 먼 활달한 성격이었어요.@,
67,엘라,@불같은 성격을 주체를 못하고 취재를 하다 총을 맞은 적도 있을 정도로요.@,
68,엘라,@그때에도 웃으면서 별일 아니라고 했던 사람인데…@,
69,파비안,@...보통 성격은 아니셨나 보군요.@,
70,엘라,@맞아요. 그랬던 사람이 최근에는 ⓡ(●1편집증)ⓦ 증세까지 도져서 이제 출근도 못할 지경이에요.@,
71,엘라,@ 자기는 곧 죽을거라며 저라도 어서 도망치라고 그러더라니까요…@,
72,파비안,(그녀가 소리죽여 울기 시작했다.),
73,파비안,@그렇군요…@,
74,파비안,(예상했던 것과 달리 외도에 관련된 문제는 아니었다.),
75,파비안,(악몽에 편집증이라니. 분명 부인이 모르는 사건에 연루된 것은 틀림없다. 그렇지 않고서야 사람이 이렇게 갑자기 바뀔리가.),
76,파비안,(지금 들은 이야기만으로는 어떻다라고 판단하기 힘들 것 같다.)★①,
77,파비안,@혹시 남편분이 취재할때 …마피아들과도 연관된 적이 있나요?@,//첫번째 선택지
78,파비안,@아^ 다른 뜻이 아니라 방금 전에 취재중에 총을 맞은 적도 있다고 말씀하셔서요.@,
79,엘라,@어… 잘은 모르지만 그때 총을 맞았을 때 마피아와 연관된 일이라고 듣긴 했어요. 아일랜드가 어떻고 시칠리아가 어떻고 그런 이야기를 했던것 같아요.@,
80,파비안,'이런^ 듣던중 불길한 소리군’,
81,파비안,‘하지만 그게 현재 남편의 상황과 연관되었다고 단정 지을 수 있을까?’,
82,파비안,’그녀의 말을 들어보면 지금까지는 딱히 개의치 않았던 것 같은데’,
83,파비안,‘생각해보면 정말 마피아 들에게 위협을 느끼게 되서 초조했다면 진작에 도망쳤겠지 집에 박혀있는게 아니라.’,
84,파비안,‘그 이상으로 무서운 존재가 있다는건가?’,
85,파비안,(결국 지금 가진 정보만으로는 어떻다 말하기가 힘들어 보인다.),
86,파비안,(무슨 상황인지 알려면 직접적인 조사가 더 필요하다.),
87,파비안,‘마피아^ 그 이상의 문제를 해결하라… 인가.’,
88,파비안,‘이거 집세 문제를 해결하기 전에 내 목숨이 거덜날지도 모르겠군.’★①,
89,파비안,‘최대한 부드러운 어투로 대답하자’,// 두번째 선택지
90,파비안,@ 어… 죄송합니다만 부인. 제 생각에는 그런 일이라면 ⓑ(병원)ⓦ에 가보시는게 좋지 않을까 싶습니다만.@,
91,파비안,@저희는 그런 정신적인 부분? 은 다루기 어려워서말이죠..@,
92,파비안,(그러자 그녀는 예상했던 대답이라는 듯 한숨을 쉬며 대답했다.),
93,엘라,@당연히 가봤죠. 당연히…@,
94,엘라,@하지만 ⓑ(병원)ⓦ 에서는 아무런 이상 증세도 발견하지 못했다고 했어요.@,
95,엘라,@검진상으로는 아무 문제가 없다고 하면서 너무 취재열에 몸이 혹사당하다 보니 지쳐서 그런것 아니냐고.@,
96,엘라,@집에서 진정제라도 먹으며 좀 쉬면 나아질거라고 했어요. 실제론 전혀 그렇지 않았지만…@,
97,엘라,@오히려 증상은 심해지기만 했다구요!@,
98,파비안,@죄송합니다 여사님 실언이었네요. 진정하세요.@,
99,파비안,(내가 사과하자 그녀 또한 정신을 차렸다는 듯이 진정하고는 말을 이어나간다.),
100,엘라,@아.. 아니에요. 저야말로 흥분했네요. 그런 이야기를 너무 많이들어서 그만 욱 했나봐요.@,
101,파비안,@충분히 그러실수 있다고 생각합니다. 괜찮습니다.@,
102,파비안,‘이거^ 보통상황이 아닌건 확실하겠어.’,
103,엘라,@혹시 모르는 마음에 지푸라기라도 잡는 심정으로 찾아와본 거에요.@,
104,엘라,@제가 모르는 다른 수상한 일이 뒤에 있는 것 아닐까 해서…@,
105,파비안,‘수상한 배후라…’,
106,파비안,@음^ 남편분께서 이곳에서 신문기자로 일하신 게 어느정도 되었을까요?@,
107,엘라,@ 아^ 네. 음… 올해로 11년^ 아니 12년 되었을거에요. 20살때 시작했다고 했으니까요.@,
108,파비안,@그렇군요…@,
109,파비안,‘12년이나 흉흉하기로 소문난 아컴시에서 신문기자로 살아온 사람…’,
110,파비안,‘그런 베테랑을 저렇게 몰아넣을 만한 사건이란 것이 뭐가 있는 걸까.’★①,
111,파비안,‘자신은 곧 죽을 것이니 도망치라고?’,세번째 선택지
112,파비안,‘이미 자신의 목숨이 결정났다는 걸 안다는건가? 어떻게?’,
113,파비안,(이 부분은 자세히 물어볼 필요가 있는것 같다.),
114,파비안,@잠시만요^ 남편분께서 도망치라고 하셨다구요?@,
115,엘라,@아^ 맞아요. 그런말을 최근 들어서 자주 하고 있어요.@,
116,파비안 ,@그리고 또 본인은 곧 죽을거라고 예측하셨다는 말씀이십니까?@,
117,엘라 ,@예측이랄까… 잘은 모르겠어요. 하지만 확신은 차 있는 듯한 모습이었어요. 적어도 그저 횡설수설 하면서 내뱉은 말은 아닌듯한…@,
118,파비안,‘확신에 차서 자신이 죽을 것이라고 했다라…’,
119,파비안,‘그런데 왜 자신의 부인과 같이 도망칠 생각을 하지 않고^ 부인만 도망치라고 말한 거지?’,
120,파비안,‘자신이 죽을 위험에 처해있고^ 부인마저 도망쳐야할 정도라면 같이 이 도시를 탈출하는게 당연한 것 아닌가?’,
121,파비안,‘왜 당연해 보이는 그 둘이 맞물리지 않고 따로 노는걸까.’,
122,파비안,@그럼 혹시 도망치라는 말은 ‘남편분에게서 도망치라’는 말로 들리셨나요^ 아니면 ‘ 아컴시로부터 도망치라’는 말로 들리셨나요?@,
123,엘라,@거기까지는 잘 모르겠어요. 하지만 왠지모르게 남편은 빠져나갈 수 없다는 어투 같긴 했어요.@,
124,엘라,@그럼 같이 도망치자고 해도 자기는 이미 늦었다고 했거든요.@,
125,파비안,@ 그렇군요… 답변 감사합니다.@,
126,파비안,‘뭐가 되었던 부자연스러운 대답이다. 직접 만나서 대화해 보는 수밖에 없나’,
127,파비안,(어쩌면 내가 모르는 사이 도시에 큰 위험이 닥쳐온 것일지도 모른다.),
128,파비안,(얼마전까지 아컴시가 조용했던것은 무언가 큰 위험이 닥쳐오고 있었기 때문 아니었을까?),
129,파비안,‘폭풍 전의 고요… 라고 하던가. 나도 쉬고 있을때가 아닌걸지도.’★①,
130,엘라,@그래서 조사를 맡아주시는 건가요..? 이외에는 의지할 곳이 없어요…@,//의뢰를 받아들인다.
131,파비안,‘지금은 이런일 저런일 마다할 때가 아니야.’,
132,파비안,‘너무 위험하거나 해결하지 못할것 같으면 선금만 받고 빠지는것도 방법이지.’,
133,파비안,‘미안하지만… 나도 최선을 다 하긴 할 거니까.’,
134,파비안,@알겠습니다 여사님. 의뢰를 받아들이겠습니다.@,
135,엘라,@정말인가요! 감사합니다… 또 거절당하는 줄 알았어요.@,
136,파비안,(그녀는 마치 이미 내가 모든 문제를 해결하기라도 한듯이 기쁘게 웃으며 말했다.),
137,파비안,‘이거 좀 찔리는데.’,
138,파비안,@맡게 된 이상 최대한 자세히 조사해 보겠습니다.@,
139,파비안,@하지만 원인을 찾아드리는걸 제 1의 목표로 하겠습니다. 해결 자체는 어려울지 몰라요.@,
140,파비안,@상황이 상황인 만큼 보통일은 아닐지도 모르니까요. 저도 기대이상의 위험은 부담하기 어렵습니다. 그래도 괜찮으신가요?@,
141,엘라,@네… 알고 있어요. 안그래도 뭔가가 잡히면 그걸로 경찰쪽에 말해볼 생각이에요.@,
142,엘라,@ 지금은 별일 아니라고만 생각해서요.@,
143,파비안,@그렇군요 이해해 주셔서 감사합니다.@,
144,파비안,@흠.. 흠… 그러면 대금에 관해서 말인데…@,
145,파비안,‘이 말을 할때가 이 직업의 가장 엿같은 부분이라니까.’,
146,파비안,(내가 그렇게 눈치를 보며 운을 떼자),
147,엘라,@아! 죄송해요^ 정신이 없어서…@,
148,파비안,(그렇게 말하며 그녀는 가방 속에서 두둑해 보이는 봉투 하나를 꺼내 건냈다.),
149,엘라,@이정도면 선금으로 충분할까요..? 원인을 찾고 해결까지 되면 그에 배로 해서 드릴께요.@,
150,파비안,(봉투 안에는 집세 2달분을 하고도 조금 남을 정도의 돈이 들어있다.) \n(재력 40 추가),
151,파비안,@물론입니다 부인. 이정도면 충분할것 같습니다.@,
152,파비안,‘사실은 한참 남아 돌지만서도…’,
153,파비안,‘이번 일은 잘 안풀리면 꽤나 잠자리가 불편해지겠어.’,
154,파비안,(그렇게 받은 봉투를 한쪽으로 치워두고는 다시 수첩을 꺼냈다.),
155,파비안,@괜찮으시다면 집 주소를 알려 주실 수 있을까요? 남편분과 직접 대화해볼 필요가 있을지도 모르고^ 경과 여부도 알려드려야 하니까요.@,
156,엘라,@네^ 물론이죠. 저희집은 아컴시 북쪽의 ⓑ(●1서 하이드길 11번지)ⓦ에요.@,
157,파비안,@아 마지막으로 남편분께서 일하셨다는 신문사는 어디일까요?@,
158,엘라,@ⓑ(●1데일리 뉴스 신문사)ⓦ요. 이 근처에 있는.@,
159,파비안,@아- 그렇군요. 마침 제가 구독하고 있는 신문사였네요.@,
160,엘라,@아아.. 그렇군요…@,
161,파비안,(내 말에 그녀가 멋쩍게 웃었다.),
162,파비안,음.. 흠. 아무튼… 그럼 다른 일도 없고 하니 바로 조사해 보도록 하겠습니다.@,
163,파비안,@뭔가 알아낸게 있으면 직접 찾아가도록 하죠.@,
164,엘라,@네… 저는 이제 남편의 간호도 있으니 집으로 돌아가봐야 겠어요.@◎③,
165,파비안,(그녀는 집에 혼자 있을 남편이 걱정된다는듯 곧 자리에서 일어났다.),
166,파비안,(그리고는 다시한번 감사를 표하고는 사무실 밖으로 걸어 나갔다.),
167,파비안,@드디어 일할 시간이로군.@,
168,파비안,(기지개를 한번 펴 주고는 수첩을 다시 품 속에 넣었다.),
169,파비안,@어디 한번 해 보자고.@◎④,
170,파비안,‘물론 돈이 아주 급한 상황이긴 하지만 내가 해결하기엔 애매한 일인것 같아.’,//의뢰를 받지 않는다.
171,파비안,‘뭔가 수상쩍은 구석이 있기도 하고 말이야.’,
172,파비안,‘이런 일을 하면서 오래 살아남는 길은 하나지. 안전해 보이는 다리만 밟는것.’,
173,파비안,‘아쉽지만 거절하도록 하자.’,
174,파비안,@이런 문제는 저희쪽에서 해결해 드리기 힘들 것 같습니다.@,
175,파비안,@어줍잖게 의뢰를 받아들였다간 오히려 해가 될 수 있을것 같아서요. 죄송합니다.@,
176,파비안,(내 말에 그녀의 표정이 순식간에 어두워 졌다.),
177,파비안,(아무래도 다른 곳에서도 나와 비슷한 대답을 들은것 같다.),
178,엘라,@그렇군요… 알겠습니다.@◎⑤,
179,파비안,(그렇게 그녀는 빠르게 탐정 사무소를 나갔다.),
180,파비안,(어쩌면 다른 사무소로 서둘러 가보려는 걸지도 모른다),
181,파비안,@...나도 일이나 다시 찾아봐야겠군.@◎④,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
