ID,캐릭터이름,대사,
67,Warden,@It's probably not as good as a full map^ but it's better than nothing.@,
68,Warden,@If you have a real map when you're caught^ wouldn't it be revealed that I gave it to you.@,
69,Fabian,@Sure. I'm grateful for that kindness. Thank you^ Warden.@⊙③,지도획득
70,Fabian,'It must be pretty serious... I didn't even say anything to him^ but he handed me a map.',
71,Fabian,'Maybe he's been building a map of priests^ waiting for someone like me to show up.',
72,Warden,@Well^ no matter what you say^ you can't!@,<실패>
73,Fabian,(If anything^ it made him even more stubborn.),
74,Fabian,(I got his attention and stole the keys from his outer pocket.),손재주>성공 -- 설득 성공하면 사라짐.
75,Fabian,'A small key... probably a (sewer) key^ right?'⊙②,열쇠획득
76,Fabian,(I couldn't find any loopholes.),<실패>
77,Warden,@(Aiden)... is he a journalist?@,키워드>>>하수도 - 에이든의 경고 or 하수도 - 문제의 근원
78,Fabian,@Yes^ he's a newspaper reporter working for the (Daily News).@,
79,Warden,@If so^ he must be a recent visitor here.@,
80,Warden,@A reporter came by with a question about (sewer ghost story).@,
81,Warden,@Like you^ I sent him back saying I didn't know...@,
82,Warden,@He must have gone to the (sewer).@,
83,Warden,@Maybe the reporter saw something of the truth there.@,
84,Warden,@It's a worker's outfit for the (sewer).@,살인사건 목격자 진술>
85,Warden,@I'm sure they did this….!@,키워드 인부복의 주인 획득
86,Warden,@A murder was committed and the getaway was a nearby (manhole)...?@,살인사건 - 범인의 도주로>
87,Warden,@I'm sure they did this….!@,
88,Warden,@Then they're probably the same people who threatened me.@,rce speculation Source of the smell? Sewer & FishySmell ( Cause of Fishy sm
89,Warden,@For they were a terrible (fishy smell) coming from them.@,
90,Fabian,@Sir^ can I borrow this workman's outfit?@,살펴보기(Warden과 설득 이후)
91,Warden,@Hmm? I don't know where you're going to use it... Do as you please.@⊙①,인부복
92,Fabian,@Thank you. I'll be sure to get it back to you later.@,
93,Warden,@Well^ I'm not sure.@,키워드 실패
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,Fabian,,
403,Fabian,,
404,Fabian,,
405,Fabian,,
406,Fabian,,
407,Fabian,,
408,Fabian,,
409,Fabian,,
410,Fabian,,
411,Fabian,,
412,Fabian,,
413,Fabian,,
414,Fabian,,
415,Fabian,,
,Fabian,,
