ID,캐릭터이름,대사,
51,파비안,@ⓡ(악몽)ⓦ의 내용에 관해서는 들으신 바가 없으신가요.@,"""Nightmare - Aiden's Nightmare""  "
52,앨런,@대다수의 환자분들께서 해당 ⓡ(악몽)ⓦ에 대해서 직접 언급하는 것을 극도로 꺼리고 계십니다.@,
53,앨런,@그래도 전반적으로 종합해 보면 물 혹은 바다와 관련된 ⓡ(악몽)ⓦ이 대다수로 보입니다.@,
54,앨런,@어쩌면 공수병의 일종일지도 모르겠습니다. 하지만 이런 병이 보고된 적은 없습니다.@,
55,앨런,@환자분께서 그렇게 말씀을 하셨다구요? ...이걸로써 또 하나의 예를 찾게 되었군요.@,"""Nightmare - Content of a Nightmare"" "
56,앨런,@다른 환자분들 께서도 물^ 특히 바다에 관련된 ⓡ(●4악몽)ⓦ을 많이 언급하고 계십니다.@,
57,앨런,@어째서 이런 현상이 발생하는 지는 의문입니다.@,
58,앨런,@오호... 의학에도 조예가 있으셨습니까? 복합적인 문제긴 합니다.@,"""Nightmare - Aiden's Detail"""
59,앨런,@하지만 저도 생각하는 방향은 일치합니다. 아무래도 ⓡ(악몽)ⓦ을 직접적인 원인으로 보고 있죠.@,
60,파비안,@최근 ⓡ(불면증)ⓦ이 유행하고 있다던데 맞나요?@,"""Insomnia - Newspaper Article""  "
61,앨런,@네^ 이전에 없을정도로 많이 확인되고 있습니다. 저희도 당혹스럽군요.@,
62,파비안,@그렇다면 증상 자체는 어떻습니까? 이전과 비교해서.@,
63,앨런,@확실히 이번 ⓡ(불면증)ⓦ은 유래가 없을정도로 독특합니다.@,
64,앨런,@우선 아컴시 이외의 지역에서는 발생하지 않았다고 합니다. 마치 풍토병처럼 이곳을 거점으로 발생하고 있죠.@,
65,앨런,@거기다가 증상또한 독특한데^ 일반적으로 약물 부작용을 제외한다면 ⓡ(불면증)ⓦ은 스트레스나 불안에 의해 발생합니다.@,
66,앨런,@그런데 현재 아컴시에서 발생하는 ⓡ(불면증)ⓦ의 경우 그 원인이 환자분들께서 수면을 두려워 하는 것에 있습니다.@,
67,앨런,@사실상 ⓡ(●2불면증)ⓦ이라기 보다는 수면 공포증^ 기피증이라고 부를 수 있겠군요.@,
68,파비안,@잠을 자는것에 공포를 느낀다구요?@,
69,앨런,@맞습니다. 그리고 그 공포의 원인으로는 ⓡ(악몽)ⓦ을 강력하게 의심하고 있습니다.@,
70,앨런,@대부분의 환자들이 호소하고 있는 고통중 하나가 그것이니까요.@,
71,파비안,@잠을 자는 것을 두려워해서 ⓡ(불면증)ⓦ이 발생했고 그 직접적인 원인이 ⓡ(악몽)ⓦ이라는 거군요.@,
72,앨런,@그겁니다. 그런 병에 대해서는 들은 바가 없지만…@,
73,앨런,@어쩌면 아까 말했던 데로 아컴 시의 풍토병일수도 있고^ 일시적인 집단 히스테리 현상일지도 모릅니다.@,
74,파비안,@그렇군요..@,
75,파비안,‘생각보다도 심각한 문제인걸? 단순히 열대야나 뭐 그런것인줄 알았는데.’,
76,파비안,‘지금 들어본 정보에 의하면… 아컴시의 많은 사람들이 ⓖ(에이든)ⓦ과 비슷한 상태라고 볼 수 있겠군.’,
77,파비안,@ⓡ(편집증)ⓦ에 대해서는 뭐 특이점이 없을까요?@,"""Paranoia - Husband's Condition"" "
78,앨런,@해당 ⓡ(●2편집증)ⓦ은 극단적 수면부족과 두려움^ 그리고 어쩔수없이 수면을 취했을 때 보게되는 ⓡ(악몽)ⓦ이 원인인 것으로 보입니다.@,
79,앨런,@즉^ ⓡ(불면증)ⓦ이 해결된다면 나머지 문제들은 자연스럽게 해결되리라 봅니다.@,
80,파비안,@혹시 ⓖ(에이든 트리스)ⓦ씨에 대해서 기억하십니까? 해당 병원의 환자로 검진을 받은 적이 있다고 들었는데요.@,"""Aiden Triss - Subject to request"" "
81,앨런,@ⓖ(●2에이든 트리스)ⓦ씨라… 아^ 기억합니다.@,
82,파비안,@어떻습니까? 다른 분들과 비교해서요.@,
83,앨런,@환자 개인정보 발설은 금지되어있습니다만… 증상 자체는 지금 아컴 시에서 유행하고 있는 ⓡ(불면증)ⓦ과 흡사합니다.@,
84,앨런,@이 이상 말씀 드릴 수 있는건 없겠군요.@,
85,앨런,@글쎄요... 제가 첨언할 것은 없는것 같습니다.@,의사 Nothing
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
