ID,캐릭터이름,대사,
39,파비안,@아침에 기사 봤어? 뭐 별이 늘어선다던데.@,키워드 행성대직렬1
40,알버트,@그거라면 나도 신문에서 봤지 딱히 흥미롭지는 않았지만.@,
41,알버트,@그러고 보니 우리 서 내에서도 ⓡ(불면증)ⓦ을 호소하는 사람이 많긴 많은데 말이야.@,//불면증1
42,파비안,@ 그건 그냥 야근에 일이 힘들어서 그런거아냐?@,
43,알버트,@어라^ 듣고 보니 그렇네.@,
44,파비안,@최근에 ⓖ(메이브)ⓦ 본적 있어?@,메이브1
45,알버트,@아니^ 최근 집중 단속기간이거든. 이런 시기에 찾아가면 폐만 끼치겠지. 나중에 얼굴보면 안부 전해줘.@,
46,파비안,@그래.@,
47,알버트,@그건 잘 모르겠는걸.@,키워드x
48,파비안,(깐깐한 경찰관^ ⓖ(알버트)ⓦ를 아끼는지 나를 달갑게 생각하지 않는다.),A살펴보기
49,파비안,(융통성 있는 경찰관^ 얼마 전에도 도움을 받은 적이 있다.),B살펴보기
50,파비안,(친구이자 유능한 경찰관인 ⓖ(알버트)ⓦ),알버트 살펴보기
51,파비안,(여자를 조금 밝히는 것만 빼면 좋은 녀석이다.),
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
