ID,캐릭터이름,대사,
297,파비안 ,@그리고 또 본인은 곧 죽을거라고 예측하셨다는 말씀이십니까?@,
298,엘라 ,@예측이랄까… 잘은 모르겠어요. 하지만 확신은 차 있는 듯한 모습이었어요. 적어도 그저 횡설수설 하면서 내뱉은 말은 아닌듯한…@,
299,파비안,‘확신에 차서 자신이 죽을 것이라고 했다라…’,
300,파비안,‘그런데 왜 자신의 부인과 같이 도망칠 생각을 하지 않고^ 부인만 도망치라고 말한 거지?’,
301,파비안,‘자신이 죽을 위험에 처해있고^ 부인마저 도망쳐야할 정도라면 같이 이 도시를 탈출하는게 당연한 것 아닌가?’,
302,파비안,‘왜 당연해 보이는 그 둘이 맞물리지 않고 따로 노는걸까.’,
303,파비안,@그럼 혹시 도망치라는 말은 ‘남편분에게서 도망치라’는 말로 들리셨나요^ 아니면 ‘ 아컴시로부터 도망치라’는 말로 들리셨나요?@,
304,엘라,@거기까지는 잘 모르겠어요. 하지만 왠지모르게 남편은 빠져나갈 수 없다는 어투 같긴 했어요.@,
305,엘라,@그럼 같이 도망치자고 해도 자기는 이미 늦었다고 했거든요.@,
306,파비안,@ 그렇군요… 답변 감사합니다.@,
307,파비안,‘뭐가 되었던 부자연스러운 대답이다. 직접 만나서 대화해 보는 수밖에 없나’,
308,파비안,(어쩌면 내가 모르는 사이 도시에 큰 위험이 닥쳐온 것일지도 모른다.),
309,파비안,(얼마전까지 아컴시가 조용했던것은 무언가 큰 위험이 닥쳐오고 있었기 때문 아니었을까?),
310,파비안,‘폭풍 전의 고요… 라고 하던가. 나도 쉬고 있을때가 아닌걸지도.’★①,
311,엘라,@그래서 조사를 맡아주시는 건가요..? 이외에는 의지할 곳이 없어요…@,//의뢰를 받아들인다.
312,파비안,‘지금은 이런일 저런일 마다할 때가 아니야.’,
313,파비안,‘너무 위험하거나 해결하지 못할것 같으면 선금만 받고 빠지는것도 방법이지.’,
314,파비안,‘미안하지만… 나도 최선을 다 하긴 할 거니까.’,
315,파비안,@알겠습니다 여사님. 의뢰를 받아들이겠습니다.@,
316,엘라,@정말인가요! 감사합니다… 또 거절당하는 줄 알았어요.@,
317,파비안,(그녀는 마치 이미 내가 모든 문제를 해결하기라도 한듯이 기쁘게 웃으며 말했다.),
318,파비안,‘이거 좀 찔리는데.’,
319,파비안,@맡게 된 이상 최대한 자세히 조사해 보겠습니다.@,
320,파비안,@하지만 원인을 찾아드리는걸 제 1의 목표로 하겠습니다. 해결 자체는 어려울지 몰라요.@,
321,파비안,@상황이 상황인 만큼 보통일은 아닐지도 모르니까요. 저도 기대이상의 위험은 부담하기 어렵습니다. 그래도 괜찮으신가요?@,
,엘라,@네… 알고 있어요. 안그래도 뭔가가 잡히면 그걸로 경찰쪽에 말해볼 생각이에요.@,
,엘라,@ 지금은 별일 아니라고만 생각해서요.@,
,파비안,@그렇군요 이해해 주셔서 감사합니다.@,
,파비안,@흠.. 흠… 그러면 대금에 관해서 말인데…@,
,파비안,‘이 말을 할때가 이 직업의 가장 엿같은 부분이라니까.’,
,파비안,(내가 그렇게 눈치를 보며 운을 떼자),
,엘라,@아! 죄송해요^ 정신이 없어서…@,
,파비안,(그렇게 말하며 그녀는 가방 속에서 두둑해 보이는 봉투 하나를 꺼내 건냈다.),
,엘라,@이정도면 선금으로 충분할까요..? 원인을 찾고 해결까지 되면 그에 배로 해서 드릴께요.@,
