ID,캐릭터이름,대사,
162,Fabian,@Yeah^ but when look at the fact that the seemingly unrelated ⓖ(Ella triss)ⓦ was also killed...@,
163,Fabian,@It's safe to say that his life is over when their purpose is complete.@,
164,Albert,@Right... at least two days later^ maybe tomorrow.@,
165,Fabian,@We need to hurry.@,
166,Fabian,@He was ⓡ(kidnapped)ⓦ after all^ right?@,살인사건 - 목격자 증언 (집밖 듣기판정 성공)
167,Albert,@I'd say almost 100%.@,
168,Albert,@Suspect hadn't touched any precious metals or cash.@,
169,Fabian,@From what I've seen^ the ⓡ(culprits)ⓦ in this case are definitely ⓖ(sewer workers)ⓦ.@,살인사건 - 사건의 범인 -- 알버트 연금당함
170,Albert,@ⓖ(sewer worker)ⓦ... Is there something there?@,
171,Fabian,@In the site during the day^ the corpse of ⓖ(Ella triss)ⓦ emitted a ⓡ(fishy smell)ⓦ.@,
172,Fabian,@And the source of that ⓡ(fishy smell)ⓦ was definitely a ⓖ(sewer worker)ⓦ.@,
173,Albert,@That would mean the ⓖ(sewer worker)ⓦ at least came to the site.@,
174,Albert,@So^ the workmen's outfit what witness saw were the clothes of a ⓖ(sewer worker)ⓦ?@,
175,Albert,@Hmm... might be worth checking out.@,
176,Albert,@I'll talk to the top.@,
177,Fabian,@Have you heard about the ⓡ(cause)ⓦ of ⓖ(Ella triss)ⓦ's death?@,살인사건 - 엘라 트리스의 사인
178,Albert,@Um... I don't quite get it.@,
179,Albert,@But is it humanly possible to twist the neck like that?@,
180,Fabian,@I'd never seen it before either^ and it was horrible.@,
181,Albert,@We've sent it to the hospital for an autopsy^ so we'll know more tomorrow.@,
182,Fabian,@There was a ⓡ(webbed feet)ⓦ in the handprints on ⓖ(Ella)ⓦ's body. Did you get the report?@,살인사건 - 물갈퀴 (시신 관찰력 판정)>>
183,Albert,@A webbed feet? Are you sure you're not looking at the wrong thing?@,
184,Fabian,@No^ it was definitely there. It was long^ like a lizard's or a fish's.@,
185,Albert,@Hmm... we haven't heard that one.@,
186,Albert,@We've sent it to the hospital for an autopsy^ so we'll know more tomorrow.@,
187,Fabian,@Suspect must have gotten away through the ⓡ(manhole)ⓦ^ because there was a trail.@,살인사건 - 범인의 도주로 -- 알버트 연금당함
188,Albert,@ⓡ(manhole)ⓦ? So they escaped through the ⓑ(sewers)ⓦ.@,
189,Albert,@Hmm... that's how suspect was able to sneak away.@,
190,Fabian,@There was a tiny trail of blood leading to it.@,
191,Albert,@I'll have to put in a search request on top^ ugh^ sewers suck.@,
192,Fabian,@ⓖ(Albert)ⓦ^ how are you? You don't look too good.@,// 최초대화 변경
193,Albert,@That because I pulled an all-nighter last night. Nothing much happened.@,
194,Fabian,@How's it going^ any new information on the case?@,
195,Albert,@Well... I'm done synthesizing and validating the information I got.@,
196,Albert,@I don't know if you already know this^ but here's a quick refresher.@,
197,Albert,@First^ the crime scene was a home owned by the victims^ ⓖ(Ella)ⓦ and ⓖ(Aiden triss)ⓦ.@,
198,Albert,@A ⓡ(witness)ⓦ was heard loud noises and screams^ prompting him to contact the police.@,
199,Albert,@According to ⓡ(witness)ⓦ^ a man dressed in a ⓡ(●1ⓩworkman's outfit)ⓦ fled with a large sack and ran into an alley next to the house.@,
200,Albert,@By the time the police arrived^ his wife ⓖ(Ella triss)ⓦ was already dead in the hallway on the first floor.@,
201,Albert,@Her ⓡ(●4ⓩcause of death)ⓦ is believed to be shock death from a fractured cervical spine.@,
202,Albert,@On the other hand^ her husband ⓖ(Aiden triss)ⓦ hasn't been found yet^ and we're thinking he may have been kidnapped.@,
203,Albert,@No jewelry or cash was taken from inside the house^ so I don't think it was a robbery...@,
204,Albert,@Culprit probably did it to kidnap ⓖ(Aiden triss)ⓦ.@,
205,Fabian,@Killing irrelevant people just to kidnap someone...@,
206,Albert,@Oh^ and one more thing. There was a fine trail of blood leading out of the house from the crime scene.@,
207,Albert,@It goes all the way to the ⓡ(●6ⓩmanhole)ⓦ in the alley next to the house…@,
208,Fabian,@Did the culprit escape into a ⓡ(manhole)ⓦ?@,
209,Albert,@We think so too^ and looking into it.@,
210,Albert,@I think something will come out tomorrow.@,
211,Fabian,@I see... Thanks for the clarification.@,
212,Albert,@You're welcome.@☆①,
213,Fabian,@Albert^ I found  the ⓡ(worker's uniform)ⓦ owner.@,키워드>> 하수도 노동자) - 인부복의 주인 >>
214,Fabian,@It looks like it belongs to a ⓖ(sewer worker)ⓦ.@,
215,Albert,@...in line with the direction of our investigation.@,
216,Albert,@By the way^ it was about the time the searchers returned^ which is weird.@,
217,Albert,@I'll have to check it out.@,
218,Fabian,@Did the autopsy say anything about ⓡ(fishy smell)ⓦ?@,키워드 변경! 살인사건 -실종사건과 비릿한 냄새 (시체 살펴보기>>
219,Albert,@It was written on the doctor's note.@,
220,Albert,@I would think that a ⓡ(culprit)ⓦ with ⓑ(sewer)ⓦ connections would be able to smell like that.@,
221,Fabian,@And when I looked at it^ I saw that the handprints on the body were like... ⓡ(webbed feet)ⓦ^ how about that?@,키워드 변경! 살인사건 - 물갈퀴 (시신 관찰력 판정)>>
222,Albert,@Webbed feet? I don't know.@,
223,Albert,@I didn't hear anything about it in the report or from the officers who were on the scene.@,
224,Fabian,@Hmm... weird.@,
225,Fabian,@Is ⓖ(Albert)ⓦ out of the office today?@,// 알버트가 사라졌다면 경찰관 A 최초대화 추가
226,Police OfficersA,@Hmm? No^ chief said he had an emergency yesterday and took the day off.@,
227,Fabian,@Albert did that?@,
228,Fabian,'That's weird.',
229,Fabian,@Where's Albert?@,경찰관 b 최초대화 추가
230,Police OfficersB,@The chief said he was taking the day off.@,
231,Fabian,@Albert did that?@,
232,Fabian,'That's weird.',
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
