ID,캐릭터이름,대사,,,
133,Fabian,(With that thought in mind^ I pulled myself out of the manhole and felt like my body was being turned inside out.),,,
134,Fabian,@Wait… I think this is going to overflow...?@,,,
135,Fabian,(While I was thinking about it^ the water started rushing out of the sewers and flooding the city.),,,
136,Fabian,@This is going to flood the whole city...@,,,
137,Fabian,(The turbid water that submerges the city rises to my knees^ to my chest^ and then rises again and again.),,,
138,Fabian,'Get on the roof or I'll be swept away...!'◐⑨, 수영판정^ 성공할때까지 계속^ 실패시 체력 5 감소,,
139,Fabian,(The symbol seemed to lose its blasphemous quickly.),문양 파괴시 엔딩,,
140,Fabian,@That solves the problem... right?@,,,
141,Fabian,'I feel like I'm in the middle of something^ but there's nothing more I can do.',,,
142,Fabian,(I got out of the sewer that way.),,,
143,,……,,,
144,,……,,,
145,,By the time I emerged from the sewer^ it was well past dawn.◈③,,,
146,,I ended up being late for my appointment^ and Albert and Maeve were very upset.,<<약속 키워드를 가지고 있었다면.>> (알버트가 살아 있었다면),,
147,,I don't know if it was my dirty face or what^ but they forgave me easily.◈⑤,,,
148,,I ended up being late for my appointment^ But... I wasn't the only one who didn't show up. ,(알버트가 죽어 있었다면.),,
149,,Albert is dead.,,,
150,,Instead of being saddened^ Maeve was furious and vowed to find and kill the culprit.,,,
151,,It's probably because of me that Albert is the way he is.,,,
152,,Albert must have known too much.,,,
153,,I'll have to keep this a secret from Maeve for the rest of my life.◈⑤,,,
154,,Too tired to do anything else^ I went back to the office and tried to sleep.,<<약속 키워드를 가지고 있지 않았다면>>,,
155,,I slept so peacefully that night with no dreams.,,,
156,,After a long^ restful night's sleep^ I checked what had happened.◈④,,,
157,,Albert is dead.,<알버트가 죽었다면>,,
158,,Instead of being saddened^ Maeve was furious and vowed to find and kill the culprit.,,,
159,,It's probably because of me that Albert is the way he is.,,,
160,,Albert must have known too much.,,,
161,,I'll have to keep this a secret from Maeve for the rest of my life.◈⑤,,,
162,,Mr. Swain's strangled body was also found inside the sewer.,<<스와인이 죽었다면>>,,
163,,It must have been caught by them while wandering inside the sewer.◈⑧,,,
164,,The news that surprised me the most was that Aiden was alive.,<<최종 연결>> 의뢰 받았다면,,
165,,He was found inside a sewer with his limbs tied together.,,,
166,,By the time the police found him^ he was already awake^ and aside from a few scrapes and fatigue^ he was fine.,,,
167,,He was very saddened by the death of his wife^ but...,,,
168,,He thanked me^ and I got the commission fee that his wife didn't give.,,,
169,,It was a good thing for me because it allowed me to settle the overdue monthly rent.,,,
170,,Still^ I feel relieved to have survived such a terrible experience.,,,
171,,After all^ it's better to drink this crappy coffee alive.,,,
172,,Isn't it?◈⑥,,,
173,,The news that surprised me the most was that Aiden was alive.,<<최종 연결>> 의뢰 받았다면,,
174,,He was found inside a sewer with his limbs tied together.,,,
175,,By the time the police found him^ he was already awake^ and aside from a few scrapes and fatigue^ he was fine.,,,
176,,He was very saddened by the death of his wife^ but...,,,
177,,I realized that maybe I should have taken the job then.,,,
178,,If I had^ I might have gotten enough money to pay the back rent.,,,
179,,It is a complicated feeling when I think of Jake's face even though I am angry at myself for such snobbery.,,,
180,,Still^ I feel relieved to have survived such a terrible experience.,,,
181,,After all^ it's better to drink this crappy coffee alive.,,,
182,,Isn't it?◈⑥,,,
183,Fabian,@Ugh... Who is that at this hour...? Is it really Mr. Jake this time...?@,<죽였다면>,,
184,Fabian,@I'll have to check quickly.@,,,
185,Fabian,(When I opened the door^ I was greeted by several detectives.),<문에 다가가면>,,
186,Fabian,@What are you doing here this morning?@,,,
187,Police Officer,@Fabian Wilfred Tyler^ are you?@,,,
188,Fabian,@Yes^ that's right^ but what's going on?@,,,
189,Police Officer,@You are under arrest as a suspect in the recent mass murder of sewer workers.@,,,
190,Police Officer,@You can exercise your right to remain silent and....@,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,Fabian,,,,
403,Fabian,,,,
404,Fabian,,,,
405,Fabian,,,,
406,Fabian,,,,
407,Fabian,,,,
408,Fabian,,,,
409,Fabian,,,,
410,Fabian,,,,
411,Fabian,,,,
412,Fabian,,,,
413,Fabian,,,,
414,Fabian,,,,
415,Fabian,,,,
,Fabian,,,,
